Gemeinde,Sprachgebiet,Kanton,Bezirk,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Gossau (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,35.26220615,35.02970809,38.72045221,49.36515998,49.18740477,36.02719033,36.02719033,38.88063398,39.07875186,41.30171788,41.44689088,58.02171291,57.973462,58.09408926,46.41833811,46.13180516,47.41562426,46.99079537,37.42417172,36.77088194,37.12085861,38.65740741
Grüningen,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,36.83409437,36.52968037,37.06189411,50.84870849,51.14391144,36.02347762,36.02347762,42.7631579,42.39766082,42.25759769,42.40231549,69.19739696,69.19739696,68.83586406,52.55579554,52.41180706,51.90510424,52.26455787,42.13523132,41.92170819,42.13523132,42.01561391
Hinwil,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,35.5152027,35.13513514,39.10777569,42.48472505,42.52545825,34.26278837,34.26278837,38.81076738,38.65006027,43.77581121,44.09046214,57.20100795,57.25915875,57.25915875,45.87439614,45.75845411,46.35043562,46.35043562,38.2613724,37.72166538,37.95296839,40.75289575
Rüti (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,36.67323893,36.35060047,38.36633663,46.57824934,46.5959328,35.70302924,35.70302924,41.62604457,41.55640669,40.50480769,40.81387363,60.02405085,60.02405085,59.88661742,47.03652653,46.76085458,46.47694154,46.30550317,39.49837912,38.28698174,39.24245009,42.10348326
Seegräben,Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,63.87520526,63.38259442,62.70358306,70.71547421,70.71547421,60.13289037,60.13289037,64.70588235,64.53781513,63.98026316,63.98026316,74.54545455,74.21487603,73.55371901,74.03846154,73.87820513,69.52380952,69.52380952,72.03252033,71.54471545,71.8699187,69.98394864
Wald (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,34.41162682,34.31786217,36.32339236,48.55022037,48.59661332,36.84210526,36.84210526,52.78095674,52.55207141,39.77455717,39.86657465,58.84501255,58.95914175,58.54827665,46.31769771,46.34035803,43.7752809,43.5505618,39.63154347,39.60907661,39.65401034,38.92228902
Wetzikon (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Hinwil,33.85896724,33.72570794,40.01996008,46.1902144,46.26717977,32.54624592,32.54624592,37.40823492,37.29120119,38.5952283,38.71863431,50.24549918,50.21481178,50.0306874,42.30023472,42.05531177,40.44489383,40.72800809,34.09571788,33.80352645,34.22670025,33.20277192
Adliswil,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,33.03465932,32.82788499,33.33333333,36.30987581,41.09994086,31.80791515,31.80791515,43.55059699,43.30593071,40.60854301,40.76457968,53.92680322,53.98505,54.09183574,43.19829837,42.956589,41.83761919,41.86651257,35.59714451,35.52961605,35.60679143,33.84734002
Kilchberg (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Horgen,42.06349206,41.77859178,46.18211515,48.00564061,47.80419017,46.55764183,46.55764183,42.13709677,42.19758065,46.65042631,46.75192854,58.23708207,58.07497467,57.83181358,58.71466341,58.87736425,53.38742394,53.20486815,50.24164317,50.24164317,50.34232783,44.12238325
Langnau am Albis,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,41.17217899,41.09922179,45.45234053,42.66634289,42.52064109,34.78472391,34.78472391,49.76924945,49.35632742,47.31707317,47.63414634,59.67937819,59.75224678,59.77653631,50.72604066,50.50822846,45.69027611,45.57022809,44.62790141,44.31682221,44.53218473,39.01515152
Oberrieden,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,42.49722119,42.23786588,43.70860927,48.78587197,48.56512141,64.08014572,64.08014572,47.31104651,47.05668605,53.49587666,53.74686268,67.36386585,67.18355572,67.4359899,56.36623748,56.04434907,57.06657173,56.95977216,45.70007107,47.47690121,47.3702914,45.95076704
Richterswil,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,36.64572625,36.87416714,44.16619237,42.01696513,41.22525919,41.16318464,41.16318464,38.2544104,38.36583101,46.49553978,46.58656472,60.39115335,60.44598794,60.50082252,47.6459854,47.51824818,49.65666787,49.78315866,41.92045862,41.75922608,41.92045862,39.13974656
Rüschlikon,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,48.22026164,48.06814725,51.06510651,49.61054524,49.490713,45.42179526,45.42179526,45.52261156,45.4327643,48.87690925,48.84696017,61.71428571,61.62406015,61.7443609,60.78725962,60.51682692,54.85714286,54.94736842,48.14926271,47.78814324,47.87842311,44.41105769
Thalwil,Deutsches Sprachgebiet,Zürich,Bezirk Horgen,37.62485018,37.49500599,37.81168961,43.32140728,43.29159213,37.70215299,37.70215299,39.76261128,39.58456973,42.64909847,42.76798098,56.25,56.27966772,56.16099684,54.44301671,54.21567658,46.51848938,46.49881983,41.87899656,41.71175603,41.82980817,38.71441151
Erlenbach (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Meilen,49.10994764,48.97033159,47.56437022,53.34488735,53.03292894,41.95223261,41.95223261,44.90291262,44.59084605,46.20951068,46.41626465,61.60990712,61.05951152,61.47230822,59.24528302,59.2109777,54.42735043,54.25641026,47.41557547,46.79531358,47.38111647,45.51041311
Herrliberg,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,48.51346625,48.65337531,43.76740947,49.27884615,49.00412088,38.91478029,38.91478029,40.72113794,40.62189878,42.75549806,43.07891333,59.16450777,59.22927461,59.16450777,57.25040917,57.11947627,52.51378527,52.48134934,44.74959612,44.65266559,44.62035541,41.10169492
Hombrechtikon,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,48.43234323,48.26732673,37.63179238,46.32174616,46.75289679,39.71725794,39.71725794,40.8970276,40.8970276,40.29333333,41.78666667,58.08842997,58.14138205,58.16785809,45.54973822,45.70680628,54.25531915,54.17747795,40.01015486,39.37547601,40.03554202,39.67046895
Küsnacht (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Meilen,54.98680133,54.91793871,50.78205275,54.31230141,54.26690876,43.84414996,43.84414996,45.94072897,45.82718292,50.20261144,50.31517335,64.74893042,64.59130826,64.76018915,61.03265168,60.73889956,57.56449251,57.53069731,55.88136165,55.72407595,55.88136165,48.32320504
Männedorf,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,49.33389723,49.18587439,49.03563941,55.11778195,55.18032103,44.34710054,44.34710054,43.11757476,42.99467431,48.38644205,48.6502943,63.51324035,63.47281181,63.51324035,55.13961959,55.20032376,54.69602101,54.73641689,48.99152884,48.81000403,49.01169827,47.35139507
Meilen,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,50.39393055,50.20426029,48.13524888,52.07649493,51.99086628,39.62450593,39.62450593,42.48421053,42.55438597,45.59291546,45.73128546,66.13579212,65.95417714,65.95417714,55.72339246,55.61252772,56.36740332,56.3121547,47.48310578,47.30382016,47.49689698,43.49385953
Oetwil am See,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,35.92964824,34.17085427,30.71161049,41.31627057,41.62096283,29.48255114,29.48255114,30.68459658,30.62347188,34.13030484,34.13030484,51.63011263,51.63011263,51.63011263,39.82608696,39.76811594,42.70361991,42.42081448,31.8921954,31.44300955,31.8921954,34.53837597
Stäfa,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,44.9218157,44.70927585,40.90295485,47.5977986,47.76141604,36.30978824,36.30978824,39.37647754,39.37647754,42.19544069,42.18092058,59.77492425,59.77492425,59.78935219,48.70981692,48.4070924,49.48810382,49.40158616,44.19713832,43.87917329,44.08151467,46.65030321
Uetikon am See,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,50.5752416,50.29912563,49.35125116,52.45143386,52.59019427,42.11485871,42.11485871,47.36363636,47.40909091,47.79510022,47.88418708,65.80357143,65.80357143,65.80357143,54.23576871,54.14612282,52.92802861,52.92802861,47.11111111,46.88888889,47.2,46.54945055
Zumikon,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,51.66025865,51.45054177,50.74368731,53.83029887,53.45242185,45.21885522,45.21885522,46.26075447,46.3269358,48.95424837,49.01960784,62.65139116,62.61865794,62.61865794,62.32451845,61.90009794,58.73739017,58.86755613,60.30460143,60.07777058,60.46662346,50.47401112
Zollikon,Deutsches Sprachgebiet,Zürich,Bezirk Meilen,48.07465155,47.85022443,42.77401734,47.80337212,47.60151983,42.95716151,42.95716151,41.94043961,41.89316946,44.64974857,44.68483218,60.34886444,60.23179583,59.81034886,56.38072856,56.0987074,53.13570332,53.15932444,45.06442842,44.69795484,45.00531978,54.5217803
Fehraltorf,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,43.34908845,43.01147873,40.79207921,45.26627219,45.20710059,33.90964863,33.90964863,39.57539467,39.73870441,39.0625,39.42708333,61.82008368,61.82008368,61.82008368,49.94855967,49.74279835,48.05924413,47.65066394,44.35401831,44.25228891,44.40488301,40.39634146
Hittnau,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,38.16371681,38.05309735,35.83690987,44.527897,44.63519313,37.56670224,37.56670224,41.89473684,41.57894737,38.05668016,37.75303644,62.46246246,62.36236236,62.26226226,46.692607,46.40077821,35.40076336,35.20992366,38.20224719,38.29588015,38.38951311,41.45658263
Lindau,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,43.17925592,43.06651635,42.33825199,49.464185,49.52058658,38.60438942,38.60438942,48.45070423,48.22535211,47.04899777,46.99331849,62.84760845,62.84760845,62.90322581,57.64508929,57.36607143,57.69230769,57.35785953,49.0022173,49.11308204,49.27937916,48.06415929
Pfäffikon,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,41.97910264,42.40934235,41.24489796,46.88995215,46.83014354,37.87998421,37.87998421,44.6875616,44.39187857,45.0877193,44.75633528,59.49980613,59.55796821,59.71306708,49.74932511,49.57578095,49.07692308,49.01923077,41.99500288,41.55295022,41.93734384,42.62169414
Russikon,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,39.59810875,39.42080378,38.89528193,55.78769057,55.39243365,36.18458075,36.18458075,41.40798226,40.96452328,42.91005291,43.17460318,64.51784763,64.41129462,64.51784763,51.73703902,51.68359166,55.12820513,54.96794872,44.47410571,44.04698345,44.2071543,44.0570523
Weisslingen,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,41.58415842,41.66666667,44.35351882,48.10231023,48.01980198,37.48974569,37.48974569,43.21895425,43.38235294,43.05993691,43.9274448,64.54402516,64.77987421,64.70125786,51.61544523,51.61544523,53.50669819,53.50669819,43.55345912,43.08176101,43.31761006,45.16380655
Wila,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,50.71258907,50.83135392,49.70131422,56.22775801,55.39739027,46.21559633,46.21559633,57.01149425,56.7816092,56.24296963,56.01799775,69.81981982,69.70720721,70.4954955,57.80022447,57.80022447,57.35294118,57.35294118,54.29864253,54.07239819,54.29864253,54.45321308
Wildberg,Deutsches Sprachgebiet,Zürich,Bezirk Pfäffikon,57.79816514,57.56880734,63.09794989,67.88154898,68.33712984,64.67889908,64.67889908,67.66743649,67.20554273,64.46469248,65.37585421,81.00686499,81.00686499,80.77803204,66.51480638,66.74259681,74.61024499,74.61024499,67.72009029,67.72009029,68.17155756,64.65324385
Dübendorf,Deutsches Sprachgebiet,Zürich,Bezirk Uster,31.46956952,31.52729672,44.29130648,36.49227784,36.38715938,35.17952021,35.17952021,38.15477133,37.99651844,39.34983786,39.57921379,52.18042741,52.36968693,52.33814368,43.61693708,43.37950139,42.08134159,42.1440326,48.22014052,47.86885246,48.06401249,36.01127555
Egg,Deutsches Sprachgebiet,Zürich,Bezirk Uster,35.5605889,35.0792752,32.9661017,48.4510187,48.22774212,28.89378096,28.89378096,35.90447433,35.84957453,41.00054377,41.16367591,59.72972973,59.78378378,59.67567568,46.63967611,46.45074224,48.1293426,48.18278995,37.68387269,37.57689222,37.71061781,39.31510486
Fällanden,Deutsches Sprachgebiet,Zürich,Bezirk Uster,35.4856981,35.2308128,33.34268875,41.82229768,41.62422185,28.03009944,28.03009944,34.94363929,34.86312399,41.42664872,41.58815612,55.16224189,55.24269241,55.21587557,49.0738255,48.88590604,45.17521585,45.55611986,32.06974981,31.84230478,32.06974981,33.52601156
Greifensee,Deutsches Sprachgebiet,Zürich,Bezirk Uster,37.28304406,37.14953271,38.72053872,43.44919786,43.48262032,32.12383489,32.12383489,36.98675497,37.05298013,44.42601194,44.39283344,56.84976837,56.94904037,56.88285903,50.29880478,50.16600266,47.95109055,48.0171844,38.63487916,38.24297845,38.79817113,42.2677063
Maur,Deutsches Sprachgebiet,Zürich,Bezirk Uster,52.65141996,52.47549636,49.54196583,49.83050848,49.6125908,36.45308375,36.45308375,44.92719026,44.44974934,47.24759897,47.4115718,62.12865497,62.40935673,62.1754386,61.30841122,60.70093458,54.05968078,54.03654869,40.34117105,40.59474412,39.94928539,42.60151411
Mönchaltorf,Deutsches Sprachgebiet,Zürich,Bezirk Uster,45.89316485,45.83572659,46.91075515,56.34920635,56.23582766,44.91478835,44.91478835,52.22520107,51.84986595,50.26096033,50.6263048,65.17671518,65.17671518,65.12474013,53.36112559,53.41323606,53.00829876,52.8526971,43.7434828,43.32638165,43.43065693,44.68412943
Schwerzenbach,Deutsches Sprachgebiet,Zürich,Bezirk Uster,42.28228228,41.62162162,48.57489388,45.06957048,44.82758621,38.03827751,38.03827751,43.26579261,42.84862932,43.96248535,44.02110199,59.39499709,59.33682374,59.10413031,51.34345794,51.05140187,49.45244957,49.74063401,39.87305251,39.81534911,39.98845932,41.15606936
Uster,Deutsches Sprachgebiet,Zürich,Bezirk Uster,48.01748832,47.70088949,48.87363867,51.89329381,51.93775472,36.14298323,36.14298323,41.27228704,41.03015628,48.21959533,48.47342084,58.57493149,59.30333189,59.89470648,52.43893704,52.33865769,47.8609436,47.74742817,42.54432436,42.02161475,42.48781522,47.03476483
Volketswil,Deutsches Sprachgebiet,Zürich,Bezirk Uster,30.4268181,30.31690786,30.99837516,37.18601792,37.37923766,27.78556412,27.78556412,33.61227336,33.43793584,35.66552901,35.88737201,55.3559322,55.33898305,55.23728814,38.29787234,38.17966903,41.71399933,41.61376545,29.96360027,29.76505625,29.88087359,33.3113999
Wangen-Brüttisellen,Deutsches Sprachgebiet,Zürich,Bezirk Uster,34.26645931,34.00725765,32.87179487,39.97990959,39.67855349,32.19487695,32.19487695,33.46633417,33.46633417,41.06053496,41.24824026,53.16982878,53.12355391,53.16982878,45.58756287,45.40466392,41.64444444,41.73333333,35.26383526,35.22093522,35.22093522,39.84706882
Altikon,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,48.41772152,48.10126582,56.69781932,58.69565217,58.07453416,56,56,52.90519878,52.59938838,67.27272727,67.27272727,70.39274925,70.39274925,70.09063444,62.42424242,62.12121212,62.98507463,62.98507463,51.1627907,51.1627907,51.1627907,54.59770115
Brütten,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,50.78125,50.13020833,54.78374836,61.07554417,60.69142126,57.6971214,57.6971214,57.92682927,57.80487805,59.23344948,59.58188153,75.26254376,75.26254376,75.14585764,67.09154114,66.39629201,65.336374,64.99429875,58.75706215,58.1920904,58.4180791,61.34831461
Dägerlen,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,67.52136752,66.0968661,66.20498615,66.56891496,67.74193548,62.60387812,62.60387812,67.76859504,67.21763085,63.5883905,64.11609499,80.62015504,79.84496124,79.58656331,69.44444444,69.44444444,69.5,69,63.95061728,63.7037037,64.19753086,66.41975309
Dättlikon,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,47.45762712,47.11864407,48.52459016,57.41935484,57.41935484,41.31147541,41.31147541,55.04885994,54.07166124,53.4591195,53.4591195,74.53416149,74.22360248,74.53416149,52.83018868,52.83018868,67.0886076,67.0886076,47.96238245,47.64890282,47.64890282,52.99684543
Dinhard,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,59.13461539,59.13461539,67.61904762,65.11627907,65.11627907,60.9939759,60.9939759,64.56456457,64.11411411,59.52380952,59.07738095,80.44444444,80.44444444,80.2962963,64.62882096,64.19213974,69.1411936,68.99563319,58.94134478,58.36909871,59.0844063,60.51873199
Ellikon an der Thur,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,61.24260355,61.24260355,55.81395349,71.92982456,73.09941521,57.30659026,57.30659026,65.31791908,65.60693642,63.00578035,63.00578035,79.71014493,80.28985507,80,65.35211268,65.35211268,64.70588235,64.70588235,60.95505618,59.5505618,60.11235955,68.61111111
Elsau,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,41.20845922,41.20845922,45.07211539,55.10574018,54.98489426,44.83793517,44.83793517,47.59071981,47.53123141,55.8411215,55.95794393,65.29653553,65.35525543,65.0616559,54,54.05882353,55.4188635,55.47744581,46.81344148,46.40787949,46.69756663,47.27582293
Hagenbuch,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,55.63909774,55.13784461,54.7029703,60.73170732,60,50.23809524,50.23809524,57.41626794,57.41626794,53.73831776,54.43925234,74.31192661,73.85321101,73.62385321,61.69724771,62.8440367,60.0456621,59.8173516,59.49656751,58.5812357,59.49656751,57.50577367
Hettlingen,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,48.37398374,48.17073171,51,51.61606268,51.51811949,39.98073218,39.98073218,50.61611374,50.71090047,50.32740879,50.14031805,71.53488372,71.53488372,71.44186047,59.76058932,59.66850829,63.26905418,63.36088154,54.46265938,54.46265938,54.55373406,55.9926807
Neftenbach,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,40.78408426,40.60854301,36.79906542,45.07862551,44.84566104,33.84703196,33.84703196,43.65395561,43.31246443,41.81204277,41.98086663,60.68660022,60.63122924,60.29900332,45.579352,45.35969248,50.43103448,50.48491379,40.68891281,40.2583423,40.31216362,43.76672017
Pfungen,Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,36.25325239,36.07979185,39.03697335,42.44791667,42.1875,35.94936709,35.94936709,39.04923599,38.96434635,37.21325404,37.55310111,61.4417435,61.5255658,61.5255658,44.0167364,43.68200837,50.08291874,50.16583748,37.89991797,37.73584906,37.81788351,40.56059357
Rickenbach (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,57.45526839,57.65407555,57.43842365,60.26743076,59.9808978,50.18518519,50.18518519,53.39449541,53.30275229,51.38764548,51.20859445,70.11596789,70.02676182,69.93755575,55.53571429,55.35714286,61.53169014,61.70774648,48.25174825,47.81468532,48.07692308,47.4137931
Schlatt (ZH),Deutsches Sprachgebiet,Zürich,Bezirk Winterthur,59.70149254,59.10447761,57.05882353,70.35928144,70.05988024,50,50,65.6626506,64.45783133,64.60176991,64.89675516,76.03550296,76.03550296,76.03550296,67.96407186,67.36526946,70.97701149,70.97701149,64.28571429,63.71428571,64.57142857,59.02578797
