Gemeinde,Sprachgebiet,Kanton,Bezirk,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Grossaffoltern,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,26.21173469,26.21173469,22.0541903,42.50155569,42.50155569,50.86633663,50.86633663,29.98753117,29.98753117,39.55500618,39.55500618,58.57406269,58.57406269,58.57406269,37.29332517,37.29332517,36.47836539,36.47836539,31.39534884,31.39534884,31.39534884,28.38983051
Kallnach,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,22.97410192,22.97410192,24.13223141,41.25305126,41.25305126,27.82258065,27.82258065,31.00961539,31.00961539,34.34991974,34.34991974,60.38338658,60.38338658,60.38338658,37.58012821,37.58012821,42.17633042,42.17633042,33.28,33.28,33.28,30.29576339
Kappelen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,28.1300813,28.1300813,25.04065041,40.35947712,40.35947712,25.40453074,25.40453074,30.74433657,30.74433657,37.08399366,37.08399366,53.55450237,53.55450237,53.55450237,34.01253919,34.01253919,36.50546022,36.50546022,31.52173913,31.52173913,31.52173913,25.89147287
Lyss,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,27.33279613,27.33279613,23.70322788,33.52017937,33.52017937,27.1355986,27.1355986,26.57220188,26.57220188,32.41465706,32.41465706,53.23506594,53.23506594,53.23506594,35.8490566,35.8490566,35.72854291,35.72854291,28.97282358,28.97282358,28.97282358,28.23619632
Meikirch,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,40.68071313,40.68071313,36.18581907,51.76565008,51.76565008,39.48397185,39.48397185,37.7254902,37.7254902,51.69230769,51.69230769,67.43119266,67.43119266,67.43119266,48.03030303,48.03030303,51.77895534,51.77895534,65.51204819,65.51204819,65.51204819,41.79216868
Radelfingen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,29.91452992,29.91452992,20.58414465,42.75862069,42.75862069,24.93074792,24.93074792,33.10344828,33.10344828,37.48290014,37.48290014,58.63013699,58.63013699,58.63013699,38.28337875,38.28337875,45.42974079,45.42974079,62.1253406,62.1253406,62.1253406,32.28021978
Rapperswil (BE),Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,28.64180155,28.64180155,58.92608089,48.42249657,48.42249657,29.5687885,29.5687885,36.58038147,36.58038147,40.9556314,40.9556314,58.03389831,58.03389831,58.03389831,41.50815217,41.50815217,41.41616567,41.41616567,36.9926813,36.9926813,36.9926813,36.15591398
Schüpfen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,27.70398482,27.70398482,25.82070707,40.76393237,40.76393237,29.09203212,29.09203212,31.16480793,31.16480793,39.25290876,39.25290876,59.30445394,59.30445394,59.30445394,41.60539216,41.60539216,38.89897157,38.89897157,53.16074654,53.16074654,53.16074654,31.18664282
Seedorf (BE),Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Seeland,24.32962721,24.32962721,21.19635891,47.39517154,47.39517154,60.36432161,60.36432161,31.50343107,31.50343107,37.05080545,37.05080545,58.49408836,58.49408836,58.49408836,39.05660377,39.05660377,40.2507837,40.2507837,30.80273802,30.80273802,30.80273802,32.35477826
Aarwangen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,37.15341959,37.15341959,25.97042514,40.20379806,40.20379806,28.6040146,28.6040146,33.56227106,33.56227106,34.2459605,34.2459605,57.71122038,57.71122038,57.71122038,39.15367483,39.15367483,56.35481024,56.35481024,30.96491228,30.96491228,30.96491228,29.78165939
